"Symbol","Security","Sector","SubIndustry","Industry"
"MMM","3M","Industrials","Industrial Conglomerates","Industrial Conglomerates"
"AOS","A. O. Smith","Industrials","Building Products","Building Products"
"ABT","Abbott Laboratories","Health Care","Health Care Equipment","Health Care Equipment"
"ABBV","AbbVie","Health Care","Biotechnology","Biotechnology"
"ACN","Accenture","Information Technology","IT Consulting & Other Services","IT Consulting & Other Services"
"ADBE","Adobe Inc.","Information Technology","Application Software","Application Software"
"AMD","Advanced Micro Devices","Information Technology","Semiconductors","Semiconductors"
"AES","AES Corporation","Utilities","Independent Power Producers & Energy Traders","Independent Power Producers & Energy Traders"
"AFL","Aflac","Financials","Life & Health Insurance","Life & Health Insurance"
"A","Agilent Technologies","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"APD","Air Products","Materials","Industrial Gases","Industrial Gases"
"ABNB","Airbnb","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Hotels, Resorts & Cruise Lines"
"AKAM","Akamai Technologies","Information Technology","Internet Services & Infrastructure","Internet Services & Infrastructure"
"ALB","Albemarle Corporation","Materials","Specialty Chemicals","Specialty Chemicals"
"ARE","Alexandria Real Estate Equities","Real Estate","Office REITs","Office REITs"
"ALGN","Align Technology","Health Care","Health Care Supplies","Health Care Supplies"
"ALLE","Allegion","Industrials","Building Products","Building Products"
"LNT","Alliant Energy","Utilities","Electric Utilities","Electric Utilities"
"ALL","Allstate","Financials","Property & Casualty Insurance","Property & Casualty Insurance"
"GOOGL","Alphabet Inc. (Class A)","Communication Services","Interactive Media & Services","Interactive Media & Services"
"GOOG","Alphabet Inc. (Class C)","Communication Services","Interactive Media & Services","Interactive Media & Services"
"MO","Altria","Consumer Staples","Tobacco","Tobacco"
"AMZN","Amazon","Consumer Discretionary","Broadline Retail","Broadline Retail"
"AMCR","Amcor","Materials","Paper & Plastic Packaging Products & Materials","Paper & Plastic Packaging Products & Materials"
"AEE","Ameren","Utilities","Multi-Utilities","Multi-Utilities"
"AEP","American Electric Power","Utilities","Electric Utilities","Electric Utilities"
"AXP","American Express","Financials","Consumer Finance","Consumer Finance"
"AIG","American International Group","Financials","Multi-line Insurance","Multi-line Insurance"
"AMT","American Tower","Real Estate","Telecom Tower REITs","Telecom Tower REITs"
"AWK","American Water Works","Utilities","Water Utilities","Water Utilities"
"AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"AME","Ametek","Industrials","Electrical Components & Equipment","Electrical Components & Equipment"
"AMGN","Amgen","Health Care","Biotechnology","Biotechnology"
"APH","Amphenol","Information Technology","Electronic Components","Electronic Components"
"ADI","Analog Devices","Information Technology","Semiconductors","Semiconductors"
"AON","Aon plc","Financials","Insurance Brokers","Insurance Brokers"
"APA","APA Corporation","Energy","Oil & Gas Exploration & Production","Oil & Gas Exploration & Production"
"APP","AppLovin","Information Technology","Application Software","Application Software"
"APO","Apollo Global Management","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"AMAT","Applied Materials","Information Technology","Semiconductor Materials & Equipment","Semiconductor Materials & Equipment"
"APTV","Aptiv","Consumer Discretionary","Automotive Parts & Equipment","Automotive Parts & Equipment"
"ACGL","Arch Capital Group","Financials","Property & Casualty Insurance","Property & Casualty Insurance"
"ADM","Archer Daniels Midland","Consumer Staples","Agricultural Products & Services","Agricultural Products & Services"
"ANET","Arista Networks","Information Technology","Communications Equipment","Communications Equipment"
"AJG","Arthur J. Gallagher & Co.","Financials","Insurance Brokers","Insurance Brokers"
"AIZ","Assurant","Financials","Multi-line Insurance","Multi-line Insurance"
"T","AT&T","Communication Services","Integrated Telecommunication Services","Integrated Telecommunication Services"
"ATO","Atmos Energy","Utilities","Gas Utilities","Gas Utilities"
"ADSK","Autodesk","Information Technology","Application Software","Application Software"
"ADP","Automatic Data Processing","Industrials","Human Resource & Employment Services","Human Resource & Employment Services"
"AZO","AutoZone","Consumer Discretionary","Automotive Retail","Automotive Retail"
"AVB","AvalonBay Communities","Real Estate","Multi-Family Residential REITs","Multi-Family Residential REITs"
"AVY","Avery Dennison","Materials","Paper & Plastic Packaging Products & Materials","Paper & Plastic Packaging Products & Materials"
"AXON","Axon Enterprise","Industrials","Aerospace & Defense","Aerospace & Defense"
"BKR","Baker Hughes","Energy","Oil & Gas Equipment & Services","Oil & Gas Equipment & Services"
"BALL","Ball Corporation","Materials","Metal, Glass & Plastic Containers","Metal, Glass & Plastic Containers"
"BAC","Bank of America","Financials","Diversified Banks","Diversified Banks"
"BAX","Baxter International","Health Care","Health Care Equipment","Health Care Equipment"
"BDX","Becton Dickinson","Health Care","Health Care Equipment","Health Care Equipment"
"BRK-B","Berkshire Hathaway","Financials","Multi-Sector Holdings","Multi-Sector Holdings"
"BBY","Best Buy","Consumer Discretionary","Computer & Electronics Retail","Computer & Electronics Retail"
"TECH","Bio-Techne","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"BIIB","Biogen","Health Care","Biotechnology","Biotechnology"
"BLK","BlackRock","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"BX","Blackstone Inc.","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"XYZ","Block, Inc.","Financials","Transaction & Payment Processing Services","Transaction & Payment Processing Services"
"BK","BNY Mellon","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"BA","Boeing","Industrials","Aerospace & Defense","Aerospace & Defense"
"BKNG","Booking Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Hotels, Resorts & Cruise Lines"
"BSX","Boston Scientific","Health Care","Health Care Equipment","Health Care Equipment"
"BMY","Bristol Myers Squibb","Health Care","Pharmaceuticals","Pharmaceuticals"
"AVGO","Broadcom","Information Technology","Semiconductors","Semiconductors"
"BR","Broadridge Financial Solutions","Industrials","Data Processing & Outsourced Services","Data Processing & Outsourced Services"
"BRO","Brown & Brown","Financials","Insurance Brokers","Insurance Brokers"
"BF-B","Brown–Forman","Consumer Staples","Distillers & Vintners","Distillers & Vintners"
"BLDR","Builders FirstSource","Industrials","Building Products","Building Products"
"BG","Bunge Global","Consumer Staples","Agricultural Products & Services","Agricultural Products & Services"
"BXP","BXP, Inc.","Real Estate","Office REITs","Office REITs"
"CHRW","C.H. Robinson","Industrials","Air Freight & Logistics","Air Freight & Logistics"
"CDNS","Cadence Design Systems","Information Technology","Application Software","Application Software"
"CPT","Camden Property Trust","Real Estate","Multi-Family Residential REITs","Multi-Family Residential REITs"
"CPB","Campbell's Company (The)","Consumer Staples","Packaged Foods & Meats","Packaged Foods & Meats"
"COF","Capital One","Financials","Consumer Finance","Consumer Finance"
"CAH","Cardinal Health","Health Care","Health Care Distributors","Health Care Distributors"
"KMX","CarMax","Consumer Discretionary","Automotive Retail","Automotive Retail"
"CCL","Carnival","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Hotels, Resorts & Cruise Lines"
"CARR","Carrier Global","Industrials","Building Products","Building Products"
"CAT","Caterpillar Inc.","Industrials","Construction Machinery & Heavy Transportation Equipment","Construction Machinery & Heavy Transportation Equipment"
"CBOE","Cboe Global Markets","Financials","Financial Exchanges & Data","Financial Exchanges & Data"
"CBRE","CBRE Group","Real Estate","Real Estate Services","Real Estate Services"
"CDW","CDW Corporation","Information Technology","Technology Distributors","Technology Distributors"
"COR","Cencora","Health Care","Health Care Distributors","Health Care Distributors"
"CNC","Centene Corporation","Health Care","Managed Health Care","Managed Health Care"
"CNP","CenterPoint Energy","Utilities","Multi-Utilities","Multi-Utilities"
"CF","CF Industries","Materials","Fertilizers & Agricultural Chemicals","Fertilizers & Agricultural Chemicals"
"CRL","Charles River Laboratories","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"SCHW","Charles Schwab Corporation","Financials","Investment Banking & Brokerage","Investment Banking & Brokerage"
"CHTR","Charter Communications","Communication Services","Cable & Satellite","Cable & Satellite"
"CVX","Chevron Corporation","Energy","Integrated Oil & Gas","Integrated Oil & Gas"
"CMG","Chipotle Mexican Grill","Consumer Discretionary","Restaurants","Restaurants"
"CB","Chubb Limited","Financials","Property & Casualty Insurance","Property & Casualty Insurance"
"CHD","Church & Dwight","Consumer Staples","Household Products","Household Products"
"CI","Cigna","Health Care","Health Care Services","Health Care Services"
"CINF","Cincinnati Financial","Financials","Property & Casualty Insurance","Property & Casualty Insurance"
"CTAS","Cintas","Industrials","Diversified Support Services","Diversified Support Services"
"CSCO","Cisco","Information Technology","Communications Equipment","Communications Equipment"
"C","Citigroup","Financials","Diversified Banks","Diversified Banks"
"CFG","Citizens Financial Group","Financials","Regional Banks","Regional Banks"
"CLX","Clorox","Consumer Staples","Household Products","Household Products"
"CME","CME Group","Financials","Financial Exchanges & Data","Financial Exchanges & Data"
"CMS","CMS Energy","Utilities","Multi-Utilities","Multi-Utilities"
"KO","Coca-Cola Company (The)","Consumer Staples","Soft Drinks & Non-alcoholic Beverages","Soft Drinks & Non-alcoholic Beverages"
"CTSH","Cognizant","Information Technology","IT Consulting & Other Services","IT Consulting & Other Services"
"COIN","Coinbase","Financials","Financial Exchanges & Data","Financial Exchanges & Data"
"CL","Colgate-Palmolive","Consumer Staples","Household Products","Household Products"
"CMCSA","Comcast","Communication Services","Cable & Satellite","Cable & Satellite"
"CAG","Conagra Brands","Consumer Staples","Packaged Foods & Meats","Packaged Foods & Meats"
"COP","ConocoPhillips","Energy","Oil & Gas Exploration & Production","Oil & Gas Exploration & Production"
"ED","Consolidated Edison","Utilities","Multi-Utilities","Multi-Utilities"
"STZ","Constellation Brands","Consumer Staples","Distillers & Vintners","Distillers & Vintners"
"CEG","Constellation Energy","Utilities","Electric Utilities","Electric Utilities"
"COO","Cooper Companies (The)","Health Care","Health Care Supplies","Health Care Supplies"
"CPRT","Copart","Industrials","Diversified Support Services","Diversified Support Services"
"GLW","Corning Inc.","Information Technology","Electronic Components","Electronic Components"
"CPAY","Corpay","Financials","Transaction & Payment Processing Services","Transaction & Payment Processing Services"
"CTVA","Corteva","Materials","Fertilizers & Agricultural Chemicals","Fertilizers & Agricultural Chemicals"
"CSGP","CoStar Group","Real Estate","Real Estate Services","Real Estate Services"
"COST","Costco","Consumer Staples","Consumer Staples Merchandise Retail","Consumer Staples Merchandise Retail"
"CTRA","Coterra","Energy","Oil & Gas Exploration & Production","Oil & Gas Exploration & Production"
"CRWD","CrowdStrike","Information Technology","Systems Software","Systems Software"
"CCI","Crown Castle","Real Estate","Telecom Tower REITs","Telecom Tower REITs"
"CSX","CSX Corporation","Industrials","Rail Transportation","Rail Transportation"
"CMI","Cummins","Industrials","Construction Machinery & Heavy Transportation Equipment","Construction Machinery & Heavy Transportation Equipment"
"CVS","CVS Health","Health Care","Health Care Services","Health Care Services"
"DHR","Danaher Corporation","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"DRI","Darden Restaurants","Consumer Discretionary","Restaurants","Restaurants"
"DDOG","Datadog","Information Technology","Application Software","Application Software"
"DVA","DaVita","Health Care","Health Care Services","Health Care Services"
"DAY","Dayforce","Industrials","Human Resource & Employment Services","Human Resource & Employment Services"
"DECK","Deckers Brands","Consumer Discretionary","Footwear","Footwear"
"DE","Deere & Company","Industrials","Agricultural & Farm Machinery","Agricultural & Farm Machinery"
"DELL","Dell Technologies","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"DAL","Delta Air Lines","Industrials","Passenger Airlines","Passenger Airlines"
"DVN","Devon Energy","Energy","Oil & Gas Exploration & Production","Oil & Gas Exploration & Production"
"DXCM","Dexcom","Health Care","Health Care Equipment","Health Care Equipment"
"FANG","Diamondback Energy","Energy","Oil & Gas Exploration & Production","Oil & Gas Exploration & Production"
"DLR","Digital Realty","Real Estate","Data Center REITs","Data Center REITs"
"DG","Dollar General","Consumer Staples","Consumer Staples Merchandise Retail","Consumer Staples Merchandise Retail"
"DLTR","Dollar Tree","Consumer Staples","Consumer Staples Merchandise Retail","Consumer Staples Merchandise Retail"
"D","Dominion Energy","Utilities","Multi-Utilities","Multi-Utilities"
"DPZ","Domino's","Consumer Discretionary","Restaurants","Restaurants"
"DASH","DoorDash","Consumer Discretionary","Specialized Consumer Services","Specialized Consumer Services"
"DOV","Dover Corporation","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"DOW","Dow Inc.","Materials","Commodity Chemicals","Commodity Chemicals"
"DHI","D. R. Horton","Consumer Discretionary","Homebuilding","Homebuilding"
"DTE","DTE Energy","Utilities","Multi-Utilities","Multi-Utilities"
"DUK","Duke Energy","Utilities","Electric Utilities","Electric Utilities"
"DD","DuPont","Materials","Specialty Chemicals","Specialty Chemicals"
"EMN","Eastman Chemical Company","Materials","Specialty Chemicals","Specialty Chemicals"
"ETN","Eaton Corporation","Industrials","Electrical Components & Equipment","Electrical Components & Equipment"
"EBAY","eBay Inc.","Consumer Discretionary","Broadline Retail","Broadline Retail"
"ECL","Ecolab","Materials","Specialty Chemicals","Specialty Chemicals"
"EIX","Edison International","Utilities","Electric Utilities","Electric Utilities"
"EW","Edwards Lifesciences","Health Care","Health Care Equipment","Health Care Equipment"
"EA","Electronic Arts","Communication Services","Interactive Home Entertainment","Interactive Home Entertainment"
"ELV","Elevance Health","Health Care","Managed Health Care","Managed Health Care"
"EME","Emcor","Industrials","Construction & Engineering","Construction & Engineering"
"EMR","Emerson Electric","Industrials","Electrical Components & Equipment","Electrical Components & Equipment"
"ETR","Entergy","Utilities","Electric Utilities","Electric Utilities"
"EOG","EOG Resources","Energy","Oil & Gas Exploration & Production","Oil & Gas Exploration & Production"
"EPAM","EPAM Systems","Information Technology","IT Consulting & Other Services","IT Consulting & Other Services"
"EQT","EQT Corporation","Energy","Oil & Gas Exploration & Production","Oil & Gas Exploration & Production"
"EFX","Equifax","Industrials","Research & Consulting Services","Research & Consulting Services"
"EQIX","Equinix","Real Estate","Data Center REITs","Data Center REITs"
"EQR","Equity Residential","Real Estate","Multi-Family Residential REITs","Multi-Family Residential REITs"
"ERIE","Erie Indemnity","Financials","Insurance Brokers","Insurance Brokers"
"ESS","Essex Property Trust","Real Estate","Multi-Family Residential REITs","Multi-Family Residential REITs"
"EL","Estée Lauder Companies (The)","Consumer Staples","Personal Care Products","Personal Care Products"
"EG","Everest Group","Financials","Reinsurance","Reinsurance"
"EVRG","Evergy","Utilities","Electric Utilities","Electric Utilities"
"ES","Eversource Energy","Utilities","Electric Utilities","Electric Utilities"
"EXC","Exelon","Utilities","Electric Utilities","Electric Utilities"
"EXE","Expand Energy","Energy","Oil & Gas Exploration & Production","Oil & Gas Exploration & Production"
"EXPE","Expedia Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Hotels, Resorts & Cruise Lines"
"EXPD","Expeditors International","Industrials","Air Freight & Logistics","Air Freight & Logistics"
"EXR","Extra Space Storage","Real Estate","Self-Storage REITs","Self-Storage REITs"
"XOM","ExxonMobil","Energy","Integrated Oil & Gas","Integrated Oil & Gas"
"FFIV","F5, Inc.","Information Technology","Communications Equipment","Communications Equipment"
"FDS","FactSet","Financials","Financial Exchanges & Data","Financial Exchanges & Data"
"FICO","Fair Isaac","Information Technology","Application Software","Application Software"
"FAST","Fastenal","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"FRT","Federal Realty Investment Trust","Real Estate","Retail REITs","Retail REITs"
"FDX","FedEx","Industrials","Air Freight & Logistics","Air Freight & Logistics"
"FIS","Fidelity National Information Services","Financials","Transaction & Payment Processing Services","Transaction & Payment Processing Services"
"FITB","Fifth Third Bancorp","Financials","Regional Banks","Regional Banks"
"FSLR","First Solar","Information Technology","Semiconductors","Semiconductors"
"FE","FirstEnergy","Utilities","Electric Utilities","Electric Utilities"
"FI","Fiserv","Financials","Transaction & Payment Processing Services","Transaction & Payment Processing Services"
"F","Ford Motor Company","Consumer Discretionary","Automobile Manufacturers","Automobile Manufacturers"
"FTNT","Fortinet","Information Technology","Systems Software","Systems Software"
"FTV","Fortive","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"FOXA","Fox Corporation (Class A)","Communication Services","Broadcasting","Broadcasting"
"FOX","Fox Corporation (Class B)","Communication Services","Broadcasting","Broadcasting"
"BEN","Franklin Resources","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"FCX","Freeport-McMoRan","Materials","Copper","Copper"
"GRMN","Garmin","Consumer Discretionary","Consumer Electronics","Consumer Electronics"
"IT","Gartner","Information Technology","IT Consulting & Other Services","IT Consulting & Other Services"
"GE","GE Aerospace","Industrials","Aerospace & Defense","Aerospace & Defense"
"GEHC","GE HealthCare","Health Care","Health Care Equipment","Health Care Equipment"
"GEV","GE Vernova","Industrials","Heavy Electrical Equipment","Heavy Electrical Equipment"
"GEN","Gen Digital","Information Technology","Systems Software","Systems Software"
"GNRC","Generac","Industrials","Electrical Components & Equipment","Electrical Components & Equipment"
"GD","General Dynamics","Industrials","Aerospace & Defense","Aerospace & Defense"
"GIS","General Mills","Consumer Staples","Packaged Foods & Meats","Packaged Foods & Meats"
"GM","General Motors","Consumer Discretionary","Automobile Manufacturers","Automobile Manufacturers"
"GPC","Genuine Parts Company","Consumer Discretionary","Distributors","Distributors"
"GILD","Gilead Sciences","Health Care","Biotechnology","Biotechnology"
"GPN","Global Payments","Financials","Transaction & Payment Processing Services","Transaction & Payment Processing Services"
"GL","Globe Life","Financials","Life & Health Insurance","Life & Health Insurance"
"GDDY","GoDaddy","Information Technology","Internet Services & Infrastructure","Internet Services & Infrastructure"
"GS","Goldman Sachs","Financials","Investment Banking & Brokerage","Investment Banking & Brokerage"
"HAL","Halliburton","Energy","Oil & Gas Equipment & Services","Oil & Gas Equipment & Services"
"HIG","Hartford (The)","Financials","Property & Casualty Insurance","Property & Casualty Insurance"
"HAS","Hasbro","Consumer Discretionary","Leisure Products","Leisure Products"
"HCA","HCA Healthcare","Health Care","Health Care Facilities","Health Care Facilities"
"DOC","Healthpeak Properties","Real Estate","Health Care REITs","Health Care REITs"
"HSIC","Henry Schein","Health Care","Health Care Distributors","Health Care Distributors"
"HSY","Hershey Company (The)","Consumer Staples","Packaged Foods & Meats","Packaged Foods & Meats"
"HPE","Hewlett Packard Enterprise","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"HLT","Hilton Worldwide","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Hotels, Resorts & Cruise Lines"
"HOLX","Hologic","Health Care","Health Care Equipment","Health Care Equipment"
"HD","Home Depot (The)","Consumer Discretionary","Home Improvement Retail","Home Improvement Retail"
"HON","Honeywell","Industrials","Industrial Conglomerates","Industrial Conglomerates"
"HRL","Hormel Foods","Consumer Staples","Packaged Foods & Meats","Packaged Foods & Meats"
"HST","Host Hotels & Resorts","Real Estate","Hotel & Resort REITs","Hotel & Resort REITs"
"HWM","Howmet Aerospace","Industrials","Aerospace & Defense","Aerospace & Defense"
"HPQ","HP Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"HUBB","Hubbell Incorporated","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"HUM","Humana","Health Care","Managed Health Care","Managed Health Care"
"HBAN","Huntington Bancshares","Financials","Regional Banks","Regional Banks"
"HII","Huntington Ingalls Industries","Industrials","Aerospace & Defense","Aerospace & Defense"
"IBM","IBM","Information Technology","IT Consulting & Other Services","IT Consulting & Other Services"
"IEX","IDEX Corporation","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"IDXX","Idexx Laboratories","Health Care","Health Care Equipment","Health Care Equipment"
"ITW","Illinois Tool Works","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"INCY","Incyte","Health Care","Biotechnology","Biotechnology"
"IR","Ingersoll Rand","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"PODD","Insulet Corporation","Health Care","Health Care Equipment","Health Care Equipment"
"INTC","Intel","Information Technology","Semiconductors","Semiconductors"
"IBKR","Interactive Brokers","Financials","Investment Banking & Brokerage","Investment Banking & Brokerage"
"ICE","Intercontinental Exchange","Financials","Financial Exchanges & Data","Financial Exchanges & Data"
