"Symbol","Security","Sector","SubIndustry","Industry"
"IFF","International Flavors & Fragrances","Materials","Specialty Chemicals","Specialty Chemicals"
"IP","International Paper","Materials","Paper & Plastic Packaging Products & Materials","Paper & Plastic Packaging Products & Materials"
"IPG","Interpublic Group of Companies (The)","Communication Services","Advertising","Advertising"
"INTU","Intuit","Information Technology","Application Software","Application Software"
"ISRG","Intuitive Surgical","Health Care","Health Care Equipment","Health Care Equipment"
"IVZ","Invesco","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"INVH","Invitation Homes","Real Estate","Single-Family Residential REITs","Single-Family Residential REITs"
"IQV","IQVIA","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"IRM","Iron Mountain","Real Estate","Other Specialized REITs","Other Specialized REITs"
"JBHT","J.B. Hunt","Industrials","Cargo Ground Transportation","Cargo Ground Transportation"
"JBL","Jabil","Information Technology","Electronic Manufacturing Services","Electronic Manufacturing Services"
"JKHY","Jack Henry & Associates","Financials","Transaction & Payment Processing Services","Transaction & Payment Processing Services"
"J","Jacobs Solutions","Industrials","Construction & Engineering","Construction & Engineering"
"JNJ","Johnson & Johnson","Health Care","Pharmaceuticals","Pharmaceuticals"
"JCI","Johnson Controls","Industrials","Building Products","Building Products"
"JPM","JPMorgan Chase","Financials","Diversified Banks","Diversified Banks"
"K","Kellanova","Consumer Staples","Packaged Foods & Meats","Packaged Foods & Meats"
"KVUE","Kenvue","Consumer Staples","Personal Care Products","Personal Care Products"
"KDP","Keurig Dr Pepper","Consumer Staples","Soft Drinks & Non-alcoholic Beverages","Soft Drinks & Non-alcoholic Beverages"
"KEY","KeyCorp","Financials","Regional Banks","Regional Banks"
"KEYS","Keysight Technologies","Information Technology","Electronic Equipment & Instruments","Electronic Equipment & Instruments"
"KMB","Kimberly-Clark","Consumer Staples","Household Products","Household Products"
"KIM","Kimco Realty","Real Estate","Retail REITs","Retail REITs"
"KMI","Kinder Morgan","Energy","Oil & Gas Storage & Transportation","Oil & Gas Storage & Transportation"
"KKR","KKR & Co.","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"KLAC","KLA Corporation","Information Technology","Semiconductor Materials & Equipment","Semiconductor Materials & Equipment"
"KHC","Kraft Heinz","Consumer Staples","Packaged Foods & Meats","Packaged Foods & Meats"
"KR","Kroger","Consumer Staples","Food Retail","Food Retail"
"LHX","L3Harris","Industrials","Aerospace & Defense","Aerospace & Defense"
"LH","Labcorp","Health Care","Health Care Services","Health Care Services"
"LRCX","Lam Research","Information Technology","Semiconductor Materials & Equipment","Semiconductor Materials & Equipment"
"LW","Lamb Weston","Consumer Staples","Packaged Foods & Meats","Packaged Foods & Meats"
"LVS","Las Vegas Sands","Consumer Discretionary","Casinos & Gaming","Casinos & Gaming"
"LDOS","Leidos","Industrials","Diversified Support Services","Diversified Support Services"
"LEN","Lennar","Consumer Discretionary","Homebuilding","Homebuilding"
"LII","Lennox International","Industrials","Building Products","Building Products"
"LLY","Lilly (Eli)","Health Care","Pharmaceuticals","Pharmaceuticals"
"LIN","Linde plc","Materials","Industrial Gases","Industrial Gases"
"LYV","Live Nation Entertainment","Communication Services","Movies & Entertainment","Movies & Entertainment"
"LKQ","LKQ Corporation","Consumer Discretionary","Distributors","Distributors"
"LMT","Lockheed Martin","Industrials","Aerospace & Defense","Aerospace & Defense"
"L","Loews Corporation","Financials","Multi-line Insurance","Multi-line Insurance"
"LOW","Lowe's","Consumer Discretionary","Home Improvement Retail","Home Improvement Retail"
"LULU","Lululemon Athletica","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Apparel, Accessories & Luxury Goods"
"LYB","LyondellBasell","Materials","Specialty Chemicals","Specialty Chemicals"
"MTB","M&T Bank","Financials","Regional Banks","Regional Banks"
"MPC","Marathon Petroleum","Energy","Oil & Gas Refining & Marketing","Oil & Gas Refining & Marketing"
"MAR","Marriott International","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Hotels, Resorts & Cruise Lines"
"MMC","Marsh McLennan","Financials","Insurance Brokers","Insurance Brokers"
"MLM","Martin Marietta Materials","Materials","Construction Materials","Construction Materials"
"MAS","Masco","Industrials","Building Products","Building Products"
"MA","Mastercard","Financials","Transaction & Payment Processing Services","Transaction & Payment Processing Services"
"MTCH","Match Group","Communication Services","Interactive Media & Services","Interactive Media & Services"
"MKC","McCormick & Company","Consumer Staples","Packaged Foods & Meats","Packaged Foods & Meats"
"MCD","McDonald's","Consumer Discretionary","Restaurants","Restaurants"
"MCK","McKesson Corporation","Health Care","Health Care Distributors","Health Care Distributors"
"MDT","Medtronic","Health Care","Health Care Equipment","Health Care Equipment"
"MRK","Merck & Co.","Health Care","Pharmaceuticals","Pharmaceuticals"
"META","Meta Platforms","Communication Services","Interactive Media & Services","Interactive Media & Services"
"MET","MetLife","Financials","Life & Health Insurance","Life & Health Insurance"
"MTD","Mettler Toledo","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"MGM","MGM Resorts","Consumer Discretionary","Casinos & Gaming","Casinos & Gaming"
"MCHP","Microchip Technology","Information Technology","Semiconductors","Semiconductors"
"MU","Micron Technology","Information Technology","Semiconductors","Semiconductors"
"MSFT","Microsoft","Information Technology","Systems Software","Systems Software"
"MAA","Mid-America Apartment Communities","Real Estate","Multi-Family Residential REITs","Multi-Family Residential REITs"
"MRNA","Moderna","Health Care","Biotechnology","Biotechnology"
"MHK","Mohawk Industries","Consumer Discretionary","Home Furnishings","Home Furnishings"
"MOH","Molina Healthcare","Health Care","Managed Health Care","Managed Health Care"
"TAP","Molson Coors Beverage Company","Consumer Staples","Brewers","Brewers"
"MDLZ","Mondelez International","Consumer Staples","Packaged Foods & Meats","Packaged Foods & Meats"
"MPWR","Monolithic Power Systems","Information Technology","Semiconductors","Semiconductors"
"MNST","Monster Beverage","Consumer Staples","Soft Drinks & Non-alcoholic Beverages","Soft Drinks & Non-alcoholic Beverages"
"MCO","Moody's Corporation","Financials","Financial Exchanges & Data","Financial Exchanges & Data"
"MS","Morgan Stanley","Financials","Investment Banking & Brokerage","Investment Banking & Brokerage"
"MOS","Mosaic Company (The)","Materials","Fertilizers & Agricultural Chemicals","Fertilizers & Agricultural Chemicals"
"MSI","Motorola Solutions","Information Technology","Communications Equipment","Communications Equipment"
"MSCI","MSCI Inc.","Financials","Financial Exchanges & Data","Financial Exchanges & Data"
"NDAQ","Nasdaq, Inc.","Financials","Financial Exchanges & Data","Financial Exchanges & Data"
"NTAP","NetApp","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"NFLX","Netflix","Communication Services","Movies & Entertainment","Movies & Entertainment"
"NEM","Newmont","Materials","Gold","Gold"
"NWSA","News Corp (Class A)","Communication Services","Publishing","Publishing"
"NWS","News Corp (Class B)","Communication Services","Publishing","Publishing"
"NEE","NextEra Energy","Utilities","Multi-Utilities","Multi-Utilities"
"NKE","Nike, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Apparel, Accessories & Luxury Goods"
"NI","NiSource","Utilities","Multi-Utilities","Multi-Utilities"
"NDSN","Nordson Corporation","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"NSC","Norfolk Southern","Industrials","Rail Transportation","Rail Transportation"
"NTRS","Northern Trust","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"NOC","Northrop Grumman","Industrials","Aerospace & Defense","Aerospace & Defense"
"NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Hotels, Resorts & Cruise Lines"
"NRG","NRG Energy","Utilities","Independent Power Producers & Energy Traders","Independent Power Producers & Energy Traders"
"NUE","Nucor","Materials","Steel","Steel"
"NVDA","Nvidia","Information Technology","Semiconductors","Semiconductors"
"NVR","NVR, Inc.","Consumer Discretionary","Homebuilding","Homebuilding"
"NXPI","NXP Semiconductors","Information Technology","Semiconductors","Semiconductors"
"ORLY","O’Reilly Automotive","Consumer Discretionary","Automotive Retail","Automotive Retail"
"OXY","Occidental Petroleum","Energy","Oil & Gas Exploration & Production","Oil & Gas Exploration & Production"
"ODFL","Old Dominion","Industrials","Cargo Ground Transportation","Cargo Ground Transportation"
"OMC","Omnicom Group","Communication Services","Advertising","Advertising"
"ON","ON Semiconductor","Information Technology","Semiconductors","Semiconductors"
"OKE","Oneok","Energy","Oil & Gas Storage & Transportation","Oil & Gas Storage & Transportation"
"ORCL","Oracle Corporation","Information Technology","Application Software","Application Software"
"OTIS","Otis Worldwide","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"PCAR","Paccar","Industrials","Construction Machinery & Heavy Transportation Equipment","Construction Machinery & Heavy Transportation Equipment"
"PKG","Packaging Corporation of America","Materials","Paper & Plastic Packaging Products & Materials","Paper & Plastic Packaging Products & Materials"
"PLTR","Palantir Technologies","Information Technology","Application Software","Application Software"
"PANW","Palo Alto Networks","Information Technology","Systems Software","Systems Software"
"PSKY","Paramount Skydance Corporation","Communication Services","Movies & Entertainment","Movies & Entertainment"
"PH","Parker Hannifin","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"PAYX","Paychex","Industrials","Human Resource & Employment Services","Human Resource & Employment Services"
"PAYC","Paycom","Industrials","Human Resource & Employment Services","Human Resource & Employment Services"
"PYPL","PayPal","Financials","Transaction & Payment Processing Services","Transaction & Payment Processing Services"
"PNR","Pentair","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"PEP","PepsiCo","Consumer Staples","Soft Drinks & Non-alcoholic Beverages","Soft Drinks & Non-alcoholic Beverages"
"PFE","Pfizer","Health Care","Pharmaceuticals","Pharmaceuticals"
"PCG","PG&E Corporation","Utilities","Multi-Utilities","Multi-Utilities"
"PM","Philip Morris International","Consumer Staples","Tobacco","Tobacco"
"PSX","Phillips 66","Energy","Oil & Gas Refining & Marketing","Oil & Gas Refining & Marketing"
"PNW","Pinnacle West Capital","Utilities","Multi-Utilities","Multi-Utilities"
"PNC","PNC Financial Services","Financials","Diversified Banks","Diversified Banks"
"POOL","Pool Corporation","Consumer Discretionary","Distributors","Distributors"
"PPG","PPG Industries","Materials","Specialty Chemicals","Specialty Chemicals"
"PPL","PPL Corporation","Utilities","Electric Utilities","Electric Utilities"
"PFG","Principal Financial Group","Financials","Life & Health Insurance","Life & Health Insurance"
"PG","Procter & Gamble","Consumer Staples","Personal Care Products","Personal Care Products"
"PGR","Progressive Corporation","Financials","Property & Casualty Insurance","Property & Casualty Insurance"
"PLD","Prologis","Real Estate","Industrial REITs","Industrial REITs"
"PRU","Prudential Financial","Financials","Life & Health Insurance","Life & Health Insurance"
"PEG","Public Service Enterprise Group","Utilities","Electric Utilities","Electric Utilities"
"PTC","PTC Inc.","Information Technology","Application Software","Application Software"
"PSA","Public Storage","Real Estate","Self-Storage REITs","Self-Storage REITs"
"PHM","PulteGroup","Consumer Discretionary","Homebuilding","Homebuilding"
"PWR","Quanta Services","Industrials","Construction & Engineering","Construction & Engineering"
"QCOM","Qualcomm","Information Technology","Semiconductors","Semiconductors"
"DGX","Quest Diagnostics","Health Care","Health Care Services","Health Care Services"
"RL","Ralph Lauren Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Apparel, Accessories & Luxury Goods"
"RJF","Raymond James Financial","Financials","Investment Banking & Brokerage","Investment Banking & Brokerage"
"RTX","RTX Corporation","Industrials","Aerospace & Defense","Aerospace & Defense"
"O","Realty Income","Real Estate","Retail REITs","Retail REITs"
"REG","Regency Centers","Real Estate","Retail REITs","Retail REITs"
"REGN","Regeneron Pharmaceuticals","Health Care","Biotechnology","Biotechnology"
"RF","Regions Financial Corporation","Financials","Regional Banks","Regional Banks"
"RSG","Republic Services","Industrials","Environmental & Facilities Services","Environmental & Facilities Services"
"RMD","ResMed","Health Care","Health Care Equipment","Health Care Equipment"
"RVTY","Revvity","Health Care","Health Care Equipment","Health Care Equipment"
"HOOD","Robinhood Markets","Financials","Investment Banking & Brokerage","Investment Banking & Brokerage"
"ROK","Rockwell Automation","Industrials","Electrical Components & Equipment","Electrical Components & Equipment"
"ROL","Rollins, Inc.","Industrials","Environmental & Facilities Services","Environmental & Facilities Services"
"ROP","Roper Technologies","Information Technology","Electronic Equipment & Instruments","Electronic Equipment & Instruments"
"ROST","Ross Stores","Consumer Discretionary","Apparel Retail","Apparel Retail"
"RCL","Royal Caribbean Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Hotels, Resorts & Cruise Lines"
"SPGI","S&P Global","Financials","Financial Exchanges & Data","Financial Exchanges & Data"
"CRM","Salesforce","Information Technology","Application Software","Application Software"
"SBAC","SBA Communications","Real Estate","Telecom Tower REITs","Telecom Tower REITs"
"SLB","Schlumberger","Energy","Oil & Gas Equipment & Services","Oil & Gas Equipment & Services"
"STX","Seagate Technology","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"SRE","Sempra","Utilities","Multi-Utilities","Multi-Utilities"
"NOW","ServiceNow","Information Technology","Systems Software","Systems Software"
"SHW","Sherwin-Williams","Materials","Specialty Chemicals","Specialty Chemicals"
"SPG","Simon Property Group","Real Estate","Retail REITs","Retail REITs"
"SWKS","Skyworks Solutions","Information Technology","Semiconductors","Semiconductors"
"SJM","J.M. Smucker Company (The)","Consumer Staples","Packaged Foods & Meats","Packaged Foods & Meats"
"SW","Smurfit Westrock","Materials","Paper & Plastic Packaging Products & Materials","Paper & Plastic Packaging Products & Materials"
"SNA","Snap-on","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"SOLV","Solventum","Health Care","Health Care Technology","Health Care Technology"
"SO","Southern Company","Utilities","Electric Utilities","Electric Utilities"
"LUV","Southwest Airlines","Industrials","Passenger Airlines","Passenger Airlines"
"SWK","Stanley Black & Decker","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"SBUX","Starbucks","Consumer Discretionary","Restaurants","Restaurants"
"STT","State Street Corporation","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"STLD","Steel Dynamics","Materials","Steel","Steel"
"STE","Steris","Health Care","Health Care Equipment","Health Care Equipment"
"SYK","Stryker Corporation","Health Care","Health Care Equipment","Health Care Equipment"
"SMCI","Supermicro","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"SYF","Synchrony Financial","Financials","Consumer Finance","Consumer Finance"
"SNPS","Synopsys","Information Technology","Application Software","Application Software"
"SYY","Sysco","Consumer Staples","Food Distributors","Food Distributors"
"TMUS","T-Mobile US","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services"
"TROW","T. Rowe Price","Financials","Asset Management & Custody Banks","Asset Management & Custody Banks"
"TTWO","Take-Two Interactive","Communication Services","Interactive Home Entertainment","Interactive Home Entertainment"
"TPR","Tapestry, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Apparel, Accessories & Luxury Goods"
"TRGP","Targa Resources","Energy","Oil & Gas Storage & Transportation","Oil & Gas Storage & Transportation"
"TGT","Target Corporation","Consumer Staples","Consumer Staples Merchandise Retail","Consumer Staples Merchandise Retail"
"TEL","TE Connectivity","Information Technology","Electronic Manufacturing Services","Electronic Manufacturing Services"
"TDY","Teledyne Technologies","Information Technology","Electronic Equipment & Instruments","Electronic Equipment & Instruments"
"TER","Teradyne","Information Technology","Semiconductor Materials & Equipment","Semiconductor Materials & Equipment"
"TSLA","Tesla, Inc.","Consumer Discretionary","Automobile Manufacturers","Automobile Manufacturers"
"TXN","Texas Instruments","Information Technology","Semiconductors","Semiconductors"
"TPL","Texas Pacific Land Corporation","Energy","Oil & Gas Exploration & Production","Oil & Gas Exploration & Production"
"TXT","Textron","Industrials","Aerospace & Defense","Aerospace & Defense"
"TMO","Thermo Fisher Scientific","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"TJX","TJX Companies","Consumer Discretionary","Apparel Retail","Apparel Retail"
"TKO","TKO Group Holdings","Communication Services","Movies & Entertainment","Movies & Entertainment"
"TTD","Trade Desk (The)","Communication Services","Advertising","Advertising"
"TSCO","Tractor Supply","Consumer Discretionary","Other Specialty Retail","Other Specialty Retail"
"TT","Trane Technologies","Industrials","Building Products","Building Products"
"TDG","TransDigm Group","Industrials","Aerospace & Defense","Aerospace & Defense"
"TRV","Travelers Companies (The)","Financials","Property & Casualty Insurance","Property & Casualty Insurance"
"TRMB","Trimble Inc.","Information Technology","Electronic Equipment & Instruments","Electronic Equipment & Instruments"
"TFC","Truist Financial","Financials","Diversified Banks","Diversified Banks"
"TYL","Tyler Technologies","Information Technology","Application Software","Application Software"
"TSN","Tyson Foods","Consumer Staples","Packaged Foods & Meats","Packaged Foods & Meats"
"USB","U.S. Bancorp","Financials","Diversified Banks","Diversified Banks"
"UBER","Uber","Industrials","Passenger Ground Transportation","Passenger Ground Transportation"
"UDR","UDR, Inc.","Real Estate","Multi-Family Residential REITs","Multi-Family Residential REITs"
"ULTA","Ulta Beauty","Consumer Discretionary","Other Specialty Retail","Other Specialty Retail"
"UNP","Union Pacific Corporation","Industrials","Rail Transportation","Rail Transportation"
"UAL","United Airlines Holdings","Industrials","Passenger Airlines","Passenger Airlines"
"UPS","United Parcel Service","Industrials","Air Freight & Logistics","Air Freight & Logistics"
"URI","United Rentals","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"UNH","UnitedHealth Group","Health Care","Managed Health Care","Managed Health Care"
"UHS","Universal Health Services","Health Care","Health Care Facilities","Health Care Facilities"
"VLO","Valero Energy","Energy","Oil & Gas Refining & Marketing","Oil & Gas Refining & Marketing"
"VTR","Ventas","Real Estate","Health Care REITs","Health Care REITs"
"VLTO","Veralto","Industrials","Environmental & Facilities Services","Environmental & Facilities Services"
"VRSN","Verisign","Information Technology","Internet Services & Infrastructure","Internet Services & Infrastructure"
"VRSK","Verisk Analytics","Industrials","Research & Consulting Services","Research & Consulting Services"
"VZ","Verizon","Communication Services","Integrated Telecommunication Services","Integrated Telecommunication Services"
"VRTX","Vertex Pharmaceuticals","Health Care","Biotechnology","Biotechnology"
"VTRS","Viatris","Health Care","Pharmaceuticals","Pharmaceuticals"
"VICI","Vici Properties","Real Estate","Hotel & Resort REITs","Hotel & Resort REITs"
"V","Visa Inc.","Financials","Transaction & Payment Processing Services","Transaction & Payment Processing Services"
"VST","Vistra Corp.","Utilities","Electric Utilities","Electric Utilities"
"VMC","Vulcan Materials Company","Materials","Construction Materials","Construction Materials"
"WRB","W. R. Berkley Corporation","Financials","Property & Casualty Insurance","Property & Casualty Insurance"
"GWW","W. W. Grainger","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"WAB","Wabtec","Industrials","Construction Machinery & Heavy Transportation Equipment","Construction Machinery & Heavy Transportation Equipment"
"WMT","Walmart","Consumer Staples","Consumer Staples Merchandise Retail","Consumer Staples Merchandise Retail"
"DIS","Walt Disney Company (The)","Communication Services","Movies & Entertainment","Movies & Entertainment"
"WBD","Warner Bros. Discovery","Communication Services","Broadcasting","Broadcasting"
"WM","Waste Management","Industrials","Environmental & Facilities Services","Environmental & Facilities Services"
"WAT","Waters Corporation","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"WEC","WEC Energy Group","Utilities","Electric Utilities","Electric Utilities"
"WFC","Wells Fargo","Financials","Diversified Banks","Diversified Banks"
"WELL","Welltower","Real Estate","Health Care REITs","Health Care REITs"
"WST","West Pharmaceutical Services","Health Care","Health Care Supplies","Health Care Supplies"
"WDC","Western Digital","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"WY","Weyerhaeuser","Real Estate","Timber REITs","Timber REITs"
"WSM","Williams-Sonoma, Inc.","Consumer Discretionary","Homefurnishing Retail","Homefurnishing Retail"
"WMB","Williams Companies","Energy","Oil & Gas Storage & Transportation","Oil & Gas Storage & Transportation"
"WTW","Willis Towers Watson","Financials","Insurance Brokers","Insurance Brokers"
"WDAY","Workday, Inc.","Information Technology","Application Software","Application Software"
"WYNN","Wynn Resorts","Consumer Discretionary","Casinos & Gaming","Casinos & Gaming"
"XEL","Xcel Energy","Utilities","Multi-Utilities","Multi-Utilities"
"XYL","Xylem Inc.","Industrials","Industrial Machinery & Supplies & Components","Industrial Machinery & Supplies & Components"
"YUM","Yum! Brands","Consumer Discretionary","Restaurants","Restaurants"
"ZBRA","Zebra Technologies","Information Technology","Electronic Equipment & Instruments","Electronic Equipment & Instruments"
"ZBH","Zimmer Biomet","Health Care","Health Care Equipment","Health Care Equipment"
"ZTS","Zoetis","Health Care","Pharmaceuticals","Pharmaceuticals"
